date ,session,time,pair,rr,result,direction,profit,loss,liquidity,screenshot,swp_bfr_ott,year,month
03.04.2023,NY am,10:17:00,NAS100,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/03-04-2023-e186456fef474f439bb0598a60e51fcc?pvs=4,,2023,4
04.04.2023,NY am,10:59:00,NAS100,"1,6",TP,short,320,,during OTT,https://glaze-deer-019.notion.site/04-04-2023-d57ca13a15f84f6bb6d88819c511911e?pvs=4,,2023,4
12.04.2023,NY am,10:05:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/12-04-2023-10a5d916904080e087a7cf12c3fff94f?pvs=4,,2023,4
17.04.2023,NY am,10:03:00,NAS100,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/17-04-2023-10a5d9169040801caef4ca55a3e2e9ae?pvs=4,,2023,4
20.04.2023,NY am,10:45:00,NAS100,"1,6",TP,short,320,,during OTT,https://glaze-deer-019.notion.site/20-04-2023-b630255a4a1b4545a1dc708ebb0cf540?pvs=4,,2023,4
27.04.2023,London,03:47:00,NAS100,"2,5",TP,short,500,,during OTT,https://glaze-deer-019.notion.site/27-04-2023-1145d9169040806b8342f7592cc1421d?pvs=4,,2023,4
01.05.2023,NY am,10:40:00,NAS100,"1,6",TP,long,320,,during OTT,https://glaze-deer-019.notion.site/01-05-2023-10a5d9169040800982cad8e6f04b2af2?pvs=4,,2023,5
01.05.2023,NY am,10:23:00,SP500,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/01-05-2023-1105d9169040800b85bdd753ad034eea?pvs=4,,2023,5
02.05.2023,London,03:38:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/02-05-2023-1145d91690408085b2f9cb751056beb3?pvs=4,,2023,5
11.05.2023,NY am,10:32:00,SP500,"1,6",TP,long,320,,during OTT,https://glaze-deer-019.notion.site/11-05-2023-1105d9169040806682b1e7b91ba7ec3a?pvs=4,,2023,5
29.05.2023,London,03:27:00,NAS100,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/02-05-2023-1145d91690408085b2f9cb751056beb3?pvs=4,,2023,5
06.06.2023,NY am,10:14:00,NAS100,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/06-06-2023-10a5d91690408054a60fec0287205185?pvs=4,,2023,6
08.06.2023,London,03:05:00,NAS100,"2,1",TP,long,420,,before OTT,https://glaze-deer-019.notion.site/08-06-2023-1145d916904080e89a13cfde3bc14424?pvs=4,,2023,6
12.06.2023,NY am,10:15:00,NAS100,,SL,long,,200,during OTT,https://glaze-deer-019.notion.site/12-06-2023-10a5d9169040801cb62ef1e8dc29f584?pvs=4,,2023,6
